Age (bin),Age-Groups,Customer ID,Customer Profile,Purchase Class,Purchase Frequency (bin),Spending Score (bin),Age,Annual Income,Annual Income Rounded,Column Legend,High Value Count,Purchase Freq Rounded,Purchase Frequency,Row Legend,Spending Efficiency,Spending Score,Total_Value,Transaction Amount
20,18-29,1021,Impulsive,Regular,18,80,24,40791.4931,40791.49,,0,18,18,,0.002015126,82.2,1932.3,107.35
30,30-49,1021,Standard,Regular,16,40,37,53887.9911,53887.99,2,0,17,17,2,0.000760837,41,1658.69,97.57
20,18-29,1022,Standard,Fanatic,22,0,21,47068.0345,47068.03,2,0,22,22,2,4.25E-05,2,3116.3,141.65
30,30-49,1022,Standard,Regular,12,40,35,38493.3202,38493.32,2,0,13,13,2,0.001179425,45.4,1652.69,127.13
20,18-29,1023,Standard,Fanatic,20,30,23,45509.9441,45509.94,2,0,21,21,2,0.000786641,35.8,2046.66,97.46
30,30-49,1024,Standard,Occasional,6,40,37,25614.236,25614.24,2,0,6,6,2,0.001561632,40,615.78,102.63
30,30-49,1025,Standard,Fanatic,28,60,31,54850.2668,54850.27,2,0,29,29,2,0.001133996,62.2,3153.75,108.75
40,30-49,1025,Potential,Regular,12,20,44,71432.399,71432.4,,0,12,12,,0.000300984,21.5,1019.04,84.92
30,30-49,1026,Standard,Regular,18,20,34,46659.1225,46659.12,2,0,18,18,2,0.000574379,26.8,1851.84,102.88
20,18-29,1028,Standard,Fanatic,26,20,20,32535.325,32535.33,2,0,27,27,2,0.00078069,25.4,3033.45,112.35
30,30-49,1028,Standard,Fanatic,24,20,34,34157.6689,34157.67,2,0,25,25,2,0.000603086,20.6,2241.75,89.67
50,50-64,1032,Standard,Fanatic,26,20,54,40549.7112,40549.71,2,0,27,27,2,0.000510485,20.7,2488.05,92.15
30,30-49,1036,Standard,Occasional,8,20,38,40759.7342,40759.73,2,0,9,9,2,0.000628071,25.6,771.84,85.76
20,18-29,1037,Potential,Occasional,0,20,27,79395.2131,79395.21,,0,1,1,,0.000351407,27.9,77.02,77.02
40,30-49,1038,Standard,Regular,14,20,44,30583.3036,30583.3,2,0,15,15,2,0.000660491,20.2,1339.35,89.29
40,30-49,1038,Standard,Regular,18,10,44,26100.0589,26100.06,2,0,18,18,2,0.000494252,12.9,2100.96,116.72
30,30-49,1039,Standard,Occasional,8,30,30,64437.8282,64437.83,2,0,9,9,2,0.000571093,36.8,821.43,91.27
30,30-49,1040,Standard,Fanatic,26,20,31,56279.3219,56279.32,2,0,26,26,2,0.000492188,27.7,2055.82,79.07
20,18-29,1043,Standard,Regular,12,40,24,33055.5721,33055.57,2,0,13,13,2,0.001346218,44.5,1388.79,106.83
40,30-49,1044,Impulsive,Regular,10,90,43,42086.6836,42086.68,,0,11,11,,0.00226675,95.4,1117.16,101.56
30,30-49,1045,Standard,Occasional,8,50,34,40471.1108,40471.11,2,0,8,8,2,0.001480068,59.9,754.64,94.33
40,30-49,1048,Standard,Fanatic,20,50,40,43919.6106,43919.61,2,0,20,20,2,0.00124318,54.6,1892,94.6
30,30-49,1049,Standard,Fanatic,28,30,34,68109.7046,68109.7,2,0,29,29,2,0.000483044,32.9,2385.83,82.27
40,30-49,1051,Standard,Occasional,2,70,47,38094.1162,38094.12,2,0,3,3,2,0.001950432,74.3,270.39,90.13
40,30-49,1052,Standard,Occasional,2,10,41,50927.5512,50927.55,2,0,3,3,2,0.000365225,18.6,346.35,115.45
30,30-49,1053,Impulsive,Fanatic,28,80,36,45395.9431,45395.94,,0,28,28,,0.001779895,80.8,3556.84,127.03
30,30-49,1054,Standard,Regular,10,10,36,41407.0854,41407.09,2,0,11,11,2,0.000371917,15.4,1566.95,142.45
30,30-49,1055,Standard,Fanatic,24,50,36,45827.2043,45827.2,2,0,25,25,2,0.001285263,58.9,2698,107.92
30,30-49,1055,Standard,Occasional,6,50,34,72350.0557,72350.06,2,0,6,6,2,0.000758811,54.9,561.6,93.6
30,30-49,1056,Platinum,Occasional,8,80,30,77674.6803,77674.68,,1,9,9,,0.001095595,85.1,711,79
30,30-49,1056,Standard,Regular,10,30,37,34402.821,34402.82,2,0,11,11,2,0.001090027,37.5,853.27,77.57
50,50-64,1058,Standard,Fanatic,22,10,55,40208.5397,40208.54,2,0,22,22,2,0.000457614,18.4,2104.74,95.67
50,50-64,1058,Standard,Fanatic,22,10,55,40208.5397,40208.54,2,0,22,22,2,0.000457614,18.4,2104.74,95.67
20,18-29,1060,Impulsive,Fanatic,20,90,25,38321.7166,38321.72,,0,20,20,,0.002411165,92.4,1953,97.65
30,30-49,1060,Standard,Occasional,2,0,33,65490.8784,65490.88,2,0,3,3,2,0.000117574,7.7,218.52,72.84
30,30-49,1060,Impulsive,Regular,18,80,30,34491.2968,34491.3,,0,18,18,,0.002580361,89,1660.68,92.26
40,30-49,1062,Standard,Regular,14,70,46,49340.5658,49340.57,2,0,14,14,2,0.001471406,72.6,1672.58,119.47
20,18-29,1064,Standard,Occasional,8,30,24,46039.9434,46039.94,2,0,9,9,2,0.000660296,30.4,1086.84,120.76
30,30-49,1064,Standard,Occasional,0,30,34,29180.0759,29180.08,2,0,1,1,2,0.001165179,34,119.68,119.68
20,18-29,1065,Standard,Fanatic,28,0,21,3053.3855,3053.39,2,0,28,28,2,0.002783795,8.5,3081.12,110.04
20,18-29,1066,Standard,Fanatic,20,50,25,43799.43,43799.43,2,0,20,20,2,0.001237459,54.2,2160.8,108.04
30,30-49,1066,Standard,Regular,12,50,35,29825.5996,29825.6,2,0,12,12,2,0.001877582,56,1004.4,83.7
30,30-49,1066,Impulsive,Regular,18,90,35,54745.9238,54745.92,,0,19,19,,0.00170241,93.2,1596.19,84.01
20,18-29,1067,Standard,Fanatic,22,70,28,56867.3758,56867.38,2,0,22,22,2,0.001278413,72.7,2177.12,98.96
30,30-49,1067,Standard,Fanatic,20,50,39,58565.8225,58565.82,2,0,21,21,2,0.000973264,57,1817.76,86.56
30,30-49,1068,Impulsive,Fanatic,22,80,30,64771.9249,64771.92,,0,23,23,,0.001384859,89.7,2118.53,92.11
30,30-49,1069,Standard,Regular,18,30,30,37158.2624,37158.26,2,0,18,18,2,0.000831578,30.9,1947.42,108.19
20,18-29,1071,Impulsive,Occasional,0,90,23,33129.042,33129.04,,0,0,0,,0.002722687,90.2,0,94.07
30,30-49,1071,Standard,Fanatic,20,70,34,45647.4042,45647.4,2,0,21,21,2,0.001566354,71.5,1957.41,93.21
30,30-49,1071,Standard,Fanatic,26,0,32,62080.4915,62080.49,2,0,26,26,2,0.0001192,7.4,2657.98,102.23
30,30-49,1072,Impulsive,Fanatic,26,90,37,59255.8988,59255.9,,0,27,27,,0.001582965,93.8,2634.12,97.56
40,30-49,1073,Standard,Fanatic,20,30,43,34180.1193,34180.12,2,0,21,21,2,0.001038615,35.5,2505.72,119.32
30,30-49,1074,Platinum,Regular,18,70,36,71463.1768,71463.18,,1,18,18,,0.001029901,73.6,1955.16,108.62
40,30-49,1074,Impulsive,Occasional,6,80,48,23382.1071,23382.11,,0,7,7,,0.003485571,81.5,708.61,101.23
20,18-29,1075,Standard,Fanatic,20,60,24,68667.4962,68667.5,2,0,20,20,2,0.000882514,60.6,1348.2,67.41
30,30-49,1075,Impulsive,Occasional,2,80,33,54421.9375,54421.94,,0,3,3,,0.00161332,87.8,361.17,120.39
30,30-49,1076,Standard,Occasional,4,0,39,55954.4442,55954.44,2,0,4,4,2,0.000175142,9.8,409.52,102.38
40,30-49,1076,Standard,Regular,16,50,43,46479.7068,46479.71,2,0,17,17,2,0.001082193,50.3,1871.36,110.08
30,30-49,1077,Standard,Fanatic,24,30,34,39172.9743,39172.97,2,0,24,24,2,0.000952187,37.3,2404.08,100.17
20,18-29,1078,Standard,Regular,10,30,27,65913.8084,65913.81,2,0,11,11,2,0.000459691,30.3,1108.91,100.81
30,30-49,1078,Standard,Regular,10,10,35,62850.817,62850.82,2,0,11,11,2,0.000165471,10.4,1071.18,97.38
30,30-49,1080,Impulsive,Occasional,0,90,33,60269.9687,60269.97,,0,1,1,,0.001650905,99.5,111.99,111.99
30,30-49,1080,Standard,Regular,16,50,31,25165.7262,25165.73,2,0,17,17,2,0.00199875,50.3,1871.36,110.08
30,30-49,1081,Impulsive,Fanatic,22,80,37,63585.1805,63585.18,,0,23,23,,0.001303763,82.9,1805.73,78.51
40,30-49,1081,Impulsive,Fanatic,28,90,45,49615.985,49615.99,,0,29,29,,0.001852226,91.9,2272.73,78.37
30,30-49,1082,Impulsive,Occasional,2,90,37,47746.4524,47746.45,,0,2,2,,0.001901712,90.8,194.24,97.12
30,30-49,1086,Standard,Occasional,4,10,35,38101.683,38101.68,2,0,4,4,2,0.000467171,17.8,498.32,124.58
20,18-29,1087,Impulsive,Fanatic,22,80,23,61309.876,61309.88,,0,23,23,,0.001445118,88.6,2926.98,127.26
20,18-29,1089,Standard,Fanatic,20,20,25,56275.317,56275.32,2,0,21,21,2,0.000531316,29.9,1937.67,92.27
40,30-49,1089,Standard,Fanatic,24,10,45,61779.6071,61779.61,2,0,24,24,2,0.000205569,12.7,2377.44,99.06
30,30-49,1090,Standard,Occasional,2,60,34,68407.3149,68407.31,2,0,3,3,2,0.000961885,65.8,317.1,105.7
50,50-64,1091,Platinum,Fanatic,24,90,57,75683.1388,75683.14,,1,25,25,,0.001310728,99.2,2345.25,93.81
30,30-49,1092,Standard,Fanatic,20,10,37,67361.298,67361.3,2,0,20,20,2,0.000216742,14.6,2442.8,122.14
30,30-49,1093,Standard,Fanatic,24,20,34,66003.179,66003.18,2,0,24,24,2,0.00039392,26,2018.16,84.09
20,18-29,1094,Standard,Fanatic,26,60,24,43679.1287,43679.13,2,0,26,26,2,0.001549939,67.7,2271.36,87.36
30,30-49,1095,Impulsive,Occasional,4,90,36,41589.4669,41589.47,,0,5,5,,0.002368388,98.5,551.45,110.29
30,30-49,1095,Impulsive,Occasional,4,90,36,41589.4669,41589.47,,0,5,5,,0.002368388,98.5,551.45,110.29
40,30-49,1096,Standard,Fanatic,26,10,45,54315.4541,54315.45,2,0,26,26,2,0.000241184,13.1,2696.2,103.7
20,18-29,1097,Standard,Regular,16,20,29,51448.735,51448.74,2,0,16,16,2,0.000524794,27,1382.88,86.43
30,30-49,1098,Impulsive,Fanatic,28,80,32,37891.1959,37891.2,,0,29,29,,0.002161452,81.9,1832.8,63.2
30,30-49,1098,Standard,Fanatic,22,20,33,45174.7645,45174.76,2,0,23,23,2,0.000513561,23.2,3090.28,134.36
20,18-29,1100,Impulsive,Occasional,0,90,24,46471.4639,46471.46,,0,0,0,,0.002055025,95.5,0,142.4
40,30-49,1100,Standard,Fanatic,20,70,47,33637.1212,33637.12,2,0,20,20,2,0.002265354,76.2,1894.4,94.72
30,30-49,1104,Standard,Fanatic,22,70,39,57280.5931,57280.59,2,0,22,22,2,0.00127792,73.2,2828.98,128.59
40,30-49,1104,Standard,Regular,16,50,42,43546.5313,43546.53,2,0,17,17,2,0.001187236,51.7,1740.12,102.36
20,18-29,1105,Impulsive,Occasional,8,90,27,52084.8876,52084.89,,0,9,9,,0.001825866,95.1,916.56,101.84
30,30-49,1105,Standard,Fanatic,24,0,34,54173.0489,54173.05,2,0,25,25,2,7.75E-05,4.2,2666.25,106.65
40,30-49,1105,Impulsive,Occasional,8,90,42,56308.6412,56308.64,,0,8,8,,0.001662267,93.6,640.64,80.08
40,30-49,1105,Standard,Regular,12,10,40,41075.5092,41075.51,2,0,12,12,2,0.000314056,12.9,1400.64,116.72
20,18-29,1107,Standard,Regular,18,40,20,70827.613,70827.61,2,0,19,19,2,0.000588753,41.7,1722.54,90.66
30,30-49,1107,Standard,Regular,10,10,36,45447.7591,45447.76,2,0,11,11,2,0.000272841,12.4,1131.9,102.9
20,18-29,1108,Standard,Regular,16,60,28,39905.967,39905.97,2,0,17,17,2,0.00164637,65.7,1782.62,104.86
30,30-49,1109,Standard,Occasional,4,40,39,65371.2892,65371.29,2,0,5,5,2,0.000696024,45.5,458.05,91.61
40,30-49,1110,Standard,Regular,12,10,43,59033.0649,59033.06,2,0,12,12,2,0.00029475,17.4,1160.64,96.72
30,30-49,1112,Standard,Fanatic,22,70,34,61515.0705,61515.07,2,0,23,23,2,0.001248475,76.8,2301.38,100.06
20,18-29,1114,Standard,Fanatic,22,0,26,60488.9058,60488.91,2,0,22,22,2,1.98E-05,1.2,2453.22,111.51
30,30-49,1115,Standard,Occasional,8,20,34,65131.0803,65131.08,2,0,8,8,2,0.000388447,25.3,716.4,89.55
40,30-49,1116,Standard,Regular,12,30,43,61395.0813,61395.08,2,0,13,13,2,0.000589624,36.2,1248.78,96.06
20,18-29,1117,Standard,Occasional,0,60,28,37788.9997,37789,2,0,1,1,2,0.001749186,66.1,92.93,92.93
40,30-49,1117,Standard,Occasional,2,60,40,59374.6805,59374.68,2,0,2,2,2,0.001071164,63.6,162.9,81.45
40,30-49,1118,Standard,Occasional,0,30,48,18724.5113,18724.51,2,0,0,0,2,0.001682287,31.5,0,128.32
30,30-49,1120,Standard,Occasional,8,10,30,53221.0414,53221.04,2,0,8,8,2,0.00034197,18.2,980.96,122.62
40,30-49,1120,Impulsive,Fanatic,20,90,47,37058.5139,37058.51,,0,20,20,,0.002558117,94.8,1961.6,98.08
40,30-49,1120,Impulsive,Fanatic,20,90,47,37058.5139,37058.51,,0,20,20,,0.002558117,94.8,1961.6,98.08
40,30-49,1122,Standard,Occasional,8,0,41,50031.991,50031.99,2,0,9,9,2,0.000129917,6.5,816.03,90.67
30,30-49,1124,Standard,Regular,14,50,39,45583.5428,45583.54,2,0,15,15,2,0.001292133,58.9,1618.8,107.92
40,30-49,1124,Standard,Occasional,0,60,44,58946.3262,58946.33,2,0,0,0,2,0.001185825,69.9,0,115.65
30,30-49,1125,Standard,Occasional,8,50,39,22571.7414,22571.74,2,0,9,9,2,0.002312626,52.2,1073.7,119.3
40,30-49,1125,Standard,Fanatic,28,70,44,57385.0643,57385.06,2,0,29,29,2,0.001293019,74.2,3022.09,104.21
20,18-29,1126,Impulsive,Regular,12,80,24,22829.7877,22829.79,,0,12,12,,0.003556757,81.2,1470,122.5
30,30-49,1126,Standard,Occasional,2,0,34,29617.9807,29617.98,2,0,2,2,2,0.00010129,3,204.66,102.33
40,30-49,1128,Impulsive,Fanatic,20,90,44,43691.6811,43691.68,,0,20,20,,0.002247567,98.2,2140.6,107.03
30,30-49,1129,Impulsive,Fanatic,28,80,36,63841.0949,63841.09,,0,28,28,,0.001264076,80.7,3362.8,120.1
50,50-64,1130,Standard,Occasional,6,60,57,58146.7565,58146.76,2,0,6,6,2,0.001095504,63.7,445.62,74.27
30,30-49,1132,Potential,Occasional,2,10,32,88746.9967,88747,,0,3,3,,0.000128455,11.4,297.57,99.19
20,18-29,1133,Standard,Fanatic,20,70,28,44049.7132,44049.71,2,0,20,20,2,0.001670839,73.6,2172.4,108.62
40,30-49,1136,Standard,Occasional,8,30,41,56046.9433,56046.94,2,0,8,8,2,0.000611987,34.3,738.32,92.29
40,30-49,1137,Standard,Regular,16,20,40,62623.0983,62623.1,2,0,16,16,2,0.000375261,23.5,1510.56,94.41
30,30-49,1138,Impulsive,Fanatic,26,90,39,62863.993,62863.99,,0,26,26,,0.001531879,96.3,2686.32,103.32
30,30-49,1138,Standard,Regular,10,40,34,33591.1046,33591.1,2,0,11,11,2,0.001446812,48.6,1287.99,117.09
20,18-29,1139,Platinum,Regular,18,90,22,70317.993,70317.99,,1,19,19,,0.001348161,94.8,1863.52,98.08
30,30-49,1140,Standard,Fanatic,28,10,32,46908.8599,46908.86,2,0,29,29,2,0.00024942,11.7,3671.69,126.61
40,30-49,1140,Standard,Occasional,2,40,47,30466.3206,30466.32,2,0,2,2,2,0.001372007,41.8,197.94,98.97
40,30-49,1141,Standard,Regular,12,50,41,55729.9276,55729.93,2,0,12,12,2,0.000900773,50.2,1289.28,107.44
30,30-49,1142,Standard,Occasional,8,30,37,45150.11,45150.11,2,0,8,8,2,0.000872645,39.4,833.44,104.18
40,30-49,1142,Standard,Fanatic,24,40,44,58794.9428,58794.94,2,0,25,25,2,0.0008232,48.4,2235.75,89.43
20,18-29,1143,Standard,Occasional,2,30,28,57973.3152,57973.32,2,0,3,3,2,0.000620975,36,300.87,100.29
30,30-49,1143,Standard,Fanatic,20,60,39,67457.0558,67457.06,2,0,20,20,2,0.000907244,61.2,2143.2,107.16
30,30-49,1144,Impulsive,Fanatic,20,90,32,16948.7968,16948.8,,0,20,20,,0.005345512,90.6,2059.2,102.96
20,18-29,1145,Impulsive,Occasional,0,80,28,43757.8886,43757.89,,0,0,0,,0.001832812,80.2,0,104.43
20,18-29,1145,Potential,Occasional,8,10,26,112218.4258,112218.43,,0,9,9,,0.000162184,18.2,1103.58,122.62
20,18-29,1145,Standard,Regular,12,10,27,52588.0131,52588.01,2,0,12,12,2,0.000249106,13.1,1244.4,103.7
50,50-64,1145,Standard,Fanatic,28,40,52,20331.5403,20331.54,2,0,28,28,2,0.002041164,41.5,2539.88,90.71
30,30-49,1146,Standard,Regular,14,10,38,57424.8141,57424.81,2,0,15,15,2,0.000245538,14.1,1533.75,102.25
30,30-49,1147,Standard,Occasional,6,10,37,52379.5985,52379.6,2,0,7,7,2,0.000219551,11.5,653.1,93.3
30,30-49,1148,Impulsive,Occasional,4,90,34,46464.2275,46464.23,,0,5,5,,0.00207041,96.2,438.8,87.76
30,30-49,1148,Impulsive,Regular,12,90,33,45668.3526,45668.35,,0,13,13,,0.002185321,99.8,1311.7,100.9
30,30-49,1148,Standard,Regular,12,10,37,56369.8438,56369.84,2,0,13,13,2,0.000246586,13.9,1321.06,101.62
30,30-49,1151,Standard,Occasional,6,30,39,49625.9582,49625.96,2,0,6,6,2,0.000612583,30.4,724.56,120.76
40,30-49,1151,Standard,Occasional,4,70,43,52623.2805,52623.28,2,0,4,4,2,0.001417624,74.6,433.16,108.29
40,30-49,1152,Impulsive,Regular,12,80,40,65855.8575,65855.86,,0,12,12,,0.001321067,87,1378.56,114.88
30,30-49,1153,Standard,Fanatic,22,70,39,29559.7737,29559.77,2,0,22,22,2,0.002652253,78.4,1949.64,88.62
30,30-49,1153,Standard,Occasional,8,50,38,31366.8909,31366.89,2,0,9,9,2,0.001858648,58.3,1086.3,120.7
40,30-49,1153,Standard,Occasional,6,10,41,49450.6264,49450.63,2,0,6,6,2,0.000248733,12.3,712.26,118.71
20,18-29,1154,Impulsive,Regular,12,80,29,40330.2685,40330.27,,0,13,13,,0.00204809,82.6,1390.48,106.96
30,30-49,1154,Impulsive,Fanatic,24,90,34,38229.1311,38229.13,,0,24,24,,0.002592264,99.1,2611.2,108.8
50,50-64,1154,Impulsive,Fanatic,20,90,52,51717.2924,51717.29,,0,20,20,,0.001767301,91.4,1672.8,83.64
50,50-64,1154,Impulsive,Fanatic,20,90,52,51717.2924,51717.29,,0,20,20,,0.001767301,91.4,1672.8,83.64
20,18-29,1155,Standard,Fanatic,28,40,27,38066.242,38066.24,2,0,29,29,2,0.001056054,40.2,3826.26,131.94
50,50-64,1156,Standard,Fanatic,26,50,55,49514.1159,49514.12,2,0,26,26,2,0.001126951,55.8,1744.34,67.09
30,30-49,1158,Standard,Regular,16,70,31,55370.2468,55370.25,2,0,16,16,2,0.001285889,71.2,1652.96,103.31
20,18-29,1159,Impulsive,Regular,14,80,29,62603.1467,62603.15,,0,14,14,,0.001424849,89.2,1934.24,138.16
30,30-49,1160,Standard,Regular,18,60,34,53128.3295,53128.33,2,0,18,18,2,0.001272391,67.6,2357.28,130.96
30,30-49,1161,Standard,Occasional,2,50,30,36505.5691,36505.57,2,0,3,3,2,0.001471008,53.7,318.66,106.22
40,30-49,1161,Standard,Occasional,8,20,45,61346.2708,61346.27,2,0,9,9,2,0.000417303,25.6,771.84,85.76
30,30-49,1162,Standard,Fanatic,26,40,35,29090.4644,29090.46,2,0,27,27,2,0.001581274,46,2339.28,86.64
40,30-49,1162,Standard,Occasional,0,70,42,31998.6,31998.6,2,0,0,0,2,0.002371979,75.9,0,99.15
20,18-29,1163,Standard,Fanatic,28,70,26,57892.3909,57892.39,2,0,29,29,2,0.001330054,77,2667.13,91.97
20,18-29,1164,Standard,Regular,16,0,22,50622.082,50622.08,2,0,16,16,2,0.000177788,9,1187.2,74.2
30,30-49,1165,Impulsive,Fanatic,22,80,34,38327.559,38327.56,,0,23,23,,0.002340353,89.7,2118.53,92.11
30,30-49,1165,Impulsive,Occasional,6,90,34,46947.1368,46947.14,,0,7,7,,0.001991602,93.5,728.77,104.11
30,30-49,1166,Standard,Fanatic,28,40,37,51590.7451,51590.75,2,0,28,28,2,0.000965289,49.8,2943.64,105.13
30,30-49,1171,Standard,Fanatic,28,70,39,34553.6287,34553.63,2,0,28,28,2,0.002222632,76.8,2801.68,100.06
30,30-49,1171,Standard,Occasional,8,60,34,45155.8418,45155.84,2,0,9,9,2,0.001353092,61.1,891.81,99.09
30,30-49,1171,Standard,Occasional,8,60,34,45155.8418,45155.84,2,0,9,9,2,0.001353092,61.1,891.81,99.09
30,30-49,1172,Potential,Occasional,0,20,35,77150.1759,77150.18,,0,1,1,,0.000387556,29.9,92.27,92.27
30,30-49,1174,Standard,Regular,14,60,33,65892.7549,65892.75,2,0,14,14,2,0.000984934,64.9,1227.66,87.69
30,30-49,1174,Standard,Regular,16,30,38,52935.5016,52935.5,2,0,16,16,2,0.000608287,32.2,1762.24,110.14
40,30-49,1175,Standard,Regular,18,0,40,47544.396,47544.4,2,0,19,19,2,4.63E-05,2.2,2098.36,110.44
30,30-49,1178,Impulsive,Regular,16,90,39,56287.8696,56287.87,,0,16,16,,0.001726837,97.2,1560.32,97.52
50,50-64,1178,Standard,Occasional,2,60,50,23451.8453,23451.85,2,0,3,3,2,0.002797221,65.6,353.64,117.88
20,18-29,1179,Standard,Regular,12,10,22,54447.8166,54447.82,2,0,13,13,2,0.000358141,19.5,1422.98,109.46
20,18-29,1182,Standard,Fanatic,26,0,21,35401.7185,35401.72,2,0,26,26,2,4.80E-05,1.7,2831.92,108.92
40,30-49,1182,Standard,Fanatic,28,30,45,51137.681,51137.68,2,0,28,28,2,0.000602296,30.8,2181.76,77.92
20,18-29,1183,Standard,Occasional,8,40,26,69038.1193,69038.12,2,0,8,8,2,0.000698165,48.2,829.36,103.67
30,30-49,1185,Impulsive,Fanatic,28,90,34,15688.4622,15688.46,,0,29,29,,0.005743074,90.1,2657.27,91.63
40,30-49,1186,Standard,Occasional,2,30,46,44019.7722,44019.77,2,0,3,3,2,0.000788282,34.7,252.9,84.3
50,50-64,1187,Standard,Regular,10,30,52,63063.4537,63063.45,2,0,10,10,2,0.000537554,33.9,951.3,95.13
50,50-64,1187,Impulsive,Regular,18,90,50,38597.9305,38597.93,,0,18,18,,0.00242241,93.5,1873.98,104.11
40,30-49,1189,Standard,Fanatic,20,10,40,49204.9498,49204.95,2,0,21,21,2,0.00038614,19,2385.39,113.59
30,30-49,1190,Standard,Regular,18,50,37,51092.7709,51092.77,2,0,18,18,2,0.001074516,54.9,1684.8,93.6
40,30-49,1190,Standard,Occasional,4,40,41,48983.5098,48983.51,2,0,5,5,2,0.00092276,45.2,627.05,125.41
30,30-49,1191,Impulsive,Regular,14,90,37,32065.82,32065.82,,0,15,15,,0.002875336,92.2,1654.8,110.32
50,50-64,1191,Standard,Fanatic,28,20,51,56733.8335,56733.83,2,0,29,29,2,0.000364862,20.7,2672.35,92.15
50,50-64,1191,Standard,Regular,14,70,50,56072.1948,56072.19,2,0,14,14,2,0.001248391,70,1298.22,92.73
30,30-49,1192,Standard,Fanatic,20,20,38,30952.1733,30952.17,2,0,21,21,2,0.000869083,26.9,2233.98,106.38
30,30-49,1192,Standard,Fanatic,28,20,36,53317.7337,53317.73,2,0,29,29,2,0.000515776,27.5,3166.22,109.18
30,30-49,1193,Standard,Fanatic,22,30,38,52537.8875,52537.89,2,0,22,22,2,0.000744225,39.1,1906.3,86.65
